Engelse naam;Wetenschappelijke naam
Accent Gem;Ctenoplusia accentifera
African Carnation Tortrix;Epichoristodes acerbella
Albin's Hampstead Eye;Junonia villida
Alder Kitten;Furcula bicuspis
Alder Moth;Acronicta alni
Alfalfa Moth;Cydia medicaginis
Angle Shades;Phlogophora meticulosa
Angle-barred Pug;Eupithecia innotata
Angled Gem;Anomis sabulifera
Angle-striped Sallow;Enargia paleacea
Angoumois Grain Moth;Sitotroga cerealella
Antirrhinum Brocade;Calophasia platyptera
Antler Moth;Cerapteryx graminis
Apple & Plum Case-bearer;Coleophora spinella
Apple Ermine;Yponomeuta malinellus
Apple Fruit Moth;Argyresthia conjugella
Apple Leaf Miner;Lyonetia clerkella
Apple Leaf Skeletonizer;Choreutis pariana
Apple Pith Moth;Blastodacna atra
Apple Pygmy;Stigmella malella
Archer's Dart;Agrotis vestigialis
Argent & Sable;Rheumaptera hastata
Arran Carpet;Dysstroma truncata concinnata
Ash Bud Moth;Prays fraxinella
Ash Pug;Eupithecia innotata fraxinata
Ash Shoulder-knot;Scotochrosta pulla
Ashworth's Rustic;Xestia ashworthii
Asian Cotton Leafworm;Spodoptera litura
August Thorn;Ennomos quercinaria
Autumn Green Carpet;Chloroclysta miata
Autumn Webworm;Hyphantria cunea
Autumnal Moth;Epirrita autumnata
Autumnal Rustic;Eugnorisma glareosa
Autumnal Snout;Schrankia intermedialis
Azalea Leaf Miner;Caloptilia azaleella
Balsam Carpet;Xanthorhoe biriviata
Banded Pine Carpet;Pungeleria capreolaria
Barberry Carpet;Pareulype berberata
Barred Carpet;Martania taeniata
Barred Chestnut;Diarsia dahlii
Barred Fruit-tree Tortrix;Pandemis cerasana
Barred Hook-tip;Watsonalla cultraria
Barred Red;Hylaea fasciaria
Barred Rivulet;Perizoma bifaciata
Barred Sallow;Tiliacea aurago
Barred Straw;Gandaritis pyraliata
Barred Tooth-striped;Trichopteryx polycommata
Barred Umber;Plagodis pulveraria
Barred Yellow;Cidaria fulvata
Barrett's Marbled Coronet;Conisania andalusica
Basil Dwarf;Stephensia brunnichella
Beaded Chestnut;Agrochola lychnidis
Beautiful Arches;Mniotype satura
Beautiful Brocade;Lacanobia contigua
Beautiful Carpet;Mesoleuca albicillata
Beautiful China-mark;Nymphula nitidulata
Beautiful Golden Y;Autographa pulchrina
Beautiful Gothic;Leucochlaena oditis
