species, gbif_key
Acanthopsyche atra, 1853593
Acentria ephemerella, 4531687
Achroia grisella, 1870988
Acleris abietana, 8215326
Acleris aspersana, 1740053
Acleris bergmanniana, 1739797
Acleris comariana, 1739816
Acleris cristana, 1739819
Acleris emargana, 1740183
Acleris ferrugana, 1739748
Acleris forsskaleana, 1739922
Acleris hastiana, 1740392
Acleris holmiana, 1740069
Acleris hyemana, 1740005
Acleris kochiella, 1740390
Acleris laterana, 1740185
Acleris lipsiana, 1739999
Acleris literana, 1739931
Acleris logiana, 1739980
Acleris lorquiniana, 1739788
Acleris notana, 1740374
Acleris permutana, 1739866
Acleris quercinana, 1740258
Acleris rhombana, 1740120
Acleris rufana, 1739891
Acleris scabrana, 1739998
Acleris schalleriana, 1740155
Acleris shepherdana, 1739775
Acleris sparsana, 1740174
Acleris umbrana, 1739919
Acleris variegana, 1739833
Acompsia cinerella, 1852177
Acompsia schmidtiellus, 4528563
Acrobasis advenella, 4531147
Acrobasis consociella, 1874204
Acrobasis glaucella, 1874278
Acrobasis marmorea, 4531158
Acrobasis repandana, 1874192
Acrobasis sodalella, 1874295
Acrobasis suavella, 4531145
Acrobasis tumidana, 1874211
Acrocercops brongniardella, 1751051
Acroclita subsequana, 1740762
Acrolepia autumnitella, 1829588
Acrolepiopsis assectella, 1829533
Adaina microdactyla, 1858698
Adela croesella, 1860979
Adela cuprella, 1860983
Adela reaumurella, 1860987
Adela violella, 1861031
Adoxophyes orana, 1740482
Aethes beatricella, 1738463
Aethes bilbaensis, 1738440
Aethes cnicana, 1738424
Aethes dilucidana, 1738433
Aethes flagellana, 1738301
Aethes francillana, 1738334
Aethes hartmanniana, 1738514
Aethes margaritana, 1738337
Aethes piercei, 1738512
Aethes rubigana, 1738317
Aethes rutilana, 8420632
Aethes smeathmanniana, 1738422
Aethes tesserana, 1738429
Aethes tornella, 1738344
Aethes triangulana, 1738322
Aethes williana, 1738373
Agapeta hamana, 5102951
Agapeta zoegana, 5102931
Agdistis bennetii, 1859421
Aglossa caprealis, 1877988
Aglossa pinguinalis, 1877941
Agnathosia mendicella, 1858598
Agonopterix alstromeriana, 4529186
Agonopterix angelicella, 1840361
Agonopterix arenella, 1840581
Agonopterix assimilella, 1840502
Agonopterix ciliella, 1840408
Agonopterix cnicella, 1840528
Agonopterix conterminella, 1840485
Agonopterix curvipunctosa, 1840371
Agonopterix heracliana, 1840297
Agonopterix kaekeritziana, 1840380
Agonopterix laterella, 1840631
Agonopterix liturosa, 1840555
Agonopterix nanatella, 1840391
Agonopterix nervosa, 1840360
