"id" "species" "tot_photo" "nederNaam" "group" "family"
"1" "Abraxas grossulariata" "585" "bonte bessenvlinder" "macro" "Geometridae"
"2" "Abraxas sylvata" "929" "porseleinvlinder" "macro" "Geometridae"
"3" "Abrostola tripartita" "320" "brandnetelkapje" "macro" "Noctuidae"
"4" "Abrostola triplasia" "2179" "donker brandnetelkapje" "macro" "Noctuidae"
"5" "Acanthopsyche atra" "0" "zwarte heidezakdrager" "micro" "Psychidae"
"6" "Acasis viretata" "568" "groene blokspanner" "macro" "Geometridae"
"7" "Acentria ephemerella" "0" "duikermot" "micro" "Crambidae"
"8" "Acherontia atropos" "454" "doodshoofdvlinder" "macro" "Sphingidae"
"9" "Achlya flavicornis" "886" "lente-orvlinder" "macro" "Drepanidae"
"10" "Achroia grisella" "0" "kleine wasmot" "micro" "Pyralidae"
"11" "Acleris abietana" "0" "dennenboogbladroller" "micro" "Tortricidae"
"12" "Acleris aspersana" "0" "bruingele boogbladroller" "micro" "Tortricidae"
"13" "Acleris bergmanniana" "0" "gouden boogbladroller" "micro" "Tortricidae"
"14" "Acleris comariana" "0" "okergele driehoekbladroller" "micro" "Tortricidae"
"15" "Acleris cristana" "0" "diamantborsteltje" "micro" "Tortricidae"
"16" "Acleris emargana" "0" "gehakkelde bladroller" "micro" "Tortricidae"
"17" "Acleris ferrugana" "0" "lichte boogbladroller" "micro" "Tortricidae"
"18" "Acleris forsskaleana" "0" "kleine boogbladroller" "micro" "Tortricidae"
"19" "Acleris hastiana" "0" "kameleonbladroller" "micro" "Tortricidae"
"20" "Acleris holmiana" "0" "rode driehoekbladroller" "micro" "Tortricidae"
"21" "Acleris hyemana" "0" "variabele heidebladroller" "micro" "Tortricidae"
"22" "Acleris kochiella" "0" "iepenbladroller" "micro" "Tortricidae"
"23" "Acleris laterana" "0" "variabele driehoekbladroller" "micro" "Tortricidae"
"24" "Acleris lipsiana" "0" "grijze boogbladroller" "micro" "Tortricidae"
"25" "Acleris literana" "0" "groene boogbladroller" "micro" "Tortricidae"
"26" "Acleris logiana" "0" "witte boogbladroller" "micro" "Tortricidae"
"27" "Acleris lorquiniana" "0" "satijnboogbladroller" "micro" "Tortricidae"
"28" "Acleris notana" "0" "oranje boogbladroller" "micro" "Tortricidae"
"29" "Acleris permutana" "0" "rozenboogbladroller" "micro" "Tortricidae"
"30" "Acleris quercinana" "0" "eikenboogbladroller" "micro" "Tortricidae"
"31" "Acleris rhombana" "0" "gehoekte boogbladroller" "micro" "Tortricidae"
"32" "Acleris rufana" "0" "gezoomde boogbladroller" "micro" "Tortricidae"
"33" "Acleris scabrana" "0" "zwartnekboogbladroller" "micro" "Tortricidae"
"34" "Acleris schalleriana" "0" "zuidelijke boogbladroller" "micro" "Tortricidae"
"35" "Acleris shepherdana" "0" "spireaboogbladroller" "micro" "Tortricidae"
"36" "Acleris sparsana" "0" "esdoornboogbladroller" "micro" "Tortricidae"
"37" "Acleris umbrana" "0" "splinterboogbladroller" "micro" "Tortricidae"
"38" "Acleris variegana" "0" "witschouderbladroller" "micro" "Tortricidae"
"39" "Acompsia cinerella" "0" "fluweelpalpmot" "micro" "Gelechiidae"
"40" "Acompsia schmidtiellus" "0" "Limburgse fluweelpalpmot" "micro" "Gelechiidae"
"41" "Acontia lucida" "7" "bleekschouderuil" "macro" "Noctuidae"
"42" "Acontia trabealis" "14" "panteruiltje" "macro" "Noctuidae"
"43" "Acrobasis advenella" "0" "mutsjeslichtmot" "micro" "Pyralidae"
"44" "Acrobasis consociella" "0" "eikentopspinselmot" "micro" "Pyralidae"
"45" "Acrobasis glaucella" "0" "crème eikenlichtmot" "micro" "Pyralidae"
"46" "Acrobasis marmorea" "0" "hoekige mutsjeslichtmot" "micro" "Pyralidae"
"47" "Acrobasis repandana" "0" "oranje eikenlichtmot" "micro" "Pyralidae"
"48" "Acrobasis sodalella" "0" "stoffige eikenlichtmot" "micro" "Pyralidae"
"49" "Acrobasis suavella" "0" "roodstreepmutsjeslichtmot" "micro" "Pyralidae"
"50" "Acrobasis tumidana" "0" "rode eikenlichtmot" "micro" "Pyralidae"
"51" "Acrocercops brongniardella" "0" "zilvermijnmot" "micro" "Gracillariidae"
"52" "Acroclita subsequana	" "0" "zeewolfsmelkbladroller" "micro" "xxx"
"53" "Acrolepia autumnitella" "0" "bitterzoetmot" "micro" "Glyphipterigidae"
"54" "Acrolepiopsis assectella" "0" "preimot" "micro" "Glyphipterigidae"
"55" "Acronicta aceris" "1325" "bont schaapje" "macro" "Noctuidae"
"56" "Acronicta alni" "510" "elzenuil" "macro" "Noctuidae"
"57" "Acronicta auricoma" "301" "goudhaaruil" "macro" "Noctuidae"
"58" "Acronicta cuspis" "0" "grote drietand" "macro" "Noctuidae"
"59" "Acronicta euphorbiae" "0" "wolfsmelkuil" "macro" "Noctuidae"
"60" "Acronicta leporina" "1632" "schaapje" "macro" "Noctuidae"
"61" "Acronicta menyanthidis" "333" "veenheide-uil" "macro" "Noctuidae"
"62" "Acronicta psi" "30" "psi-uil" "macro" "Noctuidae"
"63" "Acronicta rumicis" "2758" "zuringuil" "macro" "Noctuidae"
"64" "Acronicta strigosa" "0" "moerasbos-uil" "macro" "Noctuidae"
"65" "Acronicta tridens" "10" "drietand" "macro" "Noctuidae"
"66" "Actebia praecox" "115" "slanke groenuil" "macro" "Noctuidae"
"67" "Actinotia polyodon" "236" "gevlamde uil" "macro" "Noctuidae"
"68" "Adaina microdactyla" "0" "dwergvedermot" "micro" "Pterophoridae"
"69" "Adela croesella" "0" "gebandeerde langsprietmot" "micro" "Adelidae"
"70" "Adela cuprella" "0" "wilgenlangsprietmot" "micro" "Adelidae"
"71" "Adela reaumurella" "0" "smaragdlangsprietmot" "micro" "Adelidae"
"72" "Adela violella" "0" "hertshooilangsprietmot" "micro" "Adelidae"
"73" "Adoxophyes orana" "0" "vruchtbladroller" "micro" "Tortricidae"
"74" "Adscita statices" "1355" "metaalvlinder" "macro" "Zygaenidae"
"75" "Aedia leucomelas" "0" "windeweeskind" "macro" "Noctuidae"
"76" "Aethalura punctulata" "613" "berkenspikkelspanner" "macro" "Geometridae"
"77" "Aethes beatricella" "0" "beatricebladroller" "micro" "Tortricidae"
"78" "Aethes bilbaensis" "0" "Bruinschoudersmalsnuitje" "micro" "Tortricidae"
"79" "Aethes cnicana" "0" "c-smalsnuitje" "micro" "Tortricidae"
"80" "Aethes dilucidana" "0" "pastinaaksmalsnuitje" "micro" "Tortricidae"
"81" "Aethes flagellana" "0" "kruisdistelsmalsnuitje" "micro" "Tortricidae"
"82" "Aethes francillana" "0" "peensmalsnuitje" "micro" "Tortricidae"
"83" "Aethes hartmanniana" "0" "beemdkroonsmalsnuitje" "micro" "Tortricidae"
"84" "Aethes margaritana" "0" "roestbandsmalsnuitje" "micro" "Tortricidae"
"85" "Aethes piercei" "0" "schijnbeemdkroonsmalsnuitje" "micro" "Tortricidae"
"86" "Aethes rubigana" "0" "donker c-smalsnuitje" "micro" "Tortricidae"
"87" "Aethes rutilana" "0" "kanariesmalsnuitje" "micro" "Tortricidae"
"88" "Aethes smeathmanniana" "0" "kommabladroller" "micro" "Tortricidae"
"89" "Aethes tesserana" "0" "prachtsmalsnuitje" "micro" "Tortricidae"
"90" "Aethes tornella" "0" "breedbandsmalsnuitje" "micro" "Tortricidae"
"91" "Aethes triangulana" "0" "triangelbladroller" "micro" "Tortricidae"
"92" "Aethes williana" "0" "geschaafd smalsnuitje" "micro" "Tortricidae"
"93" "Agapeta hamana" "0" "distelbladroller" "micro" "Tortricidae"
"94" "Agapeta zoegana" "0" "kanariepietje" "micro" "Tortricidae"
"95" "Agdistis bennetii" "0" "lamsoorvedermot" "micro" "Pterophoridae"
"96" "Aglia tau" "106" "tauvlinder" "macro" "Saturniidae"
"97" "Aglossa caprealis" "0" "bliksemlichtmot" "micro" "Pyralidae"
"98" "Aglossa pinguinalis" "0" "vetmot" "micro" "Pyralidae"
"99" "Agnathosia mendicella" "0" "Agnathosia mendicella" "micro" "Tineidae"
"100" "Agonopterix alstromeriana" "0" "blauwvlekkaartmot" "micro" "Elachistidae"
"101" "Agonopterix angelicella" "0" "moeraskaartmot" "micro" "Elachistidae"
"102" "Agonopterix arenella" "0" "bleke kaartmot" "micro" "Elachistidae"
"103" "Agonopterix assimilella" "0" "gele bremkaartmot" "micro" "Elachistidae"
"104" "Agonopterix ciliella" "0" "bonte kaartmot" "micro" "Elachistidae"
"105" "Agonopterix cnicella" "0" "kruisdistelkaartmot" "micro" "Elachistidae"
"106" "Agonopterix conterminella" "0" "wilgenkaartmot" "micro" "Elachistidae"
"107" "Agonopterix curvipunctosa" "0" "waddenkaartmot" "micro" "Elachistidae"
"108" "Agonopterix heracliana" "0" "gewone kaartmot" "micro" "Elachistidae"
"109" "Agonopterix kaekeritziana" "0" "heldergele kaartmot" "micro" "Elachistidae"
"110" "Agonopterix laterella" "0" "korenbloemkaartmot" "micro" "Elachistidae"
"111" "Agonopterix liturosa" "0" "sint-janskaartmot" "micro" "Elachistidae"
"112" "Agonopterix nanatella" "0" "driedistelkaartmot" "micro" "Elachistidae"
"113" "Agonopterix nervosa" "0" "spitse kaartmot" "micro" "Elachistidae"
"114" "Agonopterix ocellana" "0" "roodvlekkaartmot" "micro" "Elachistidae"
"115" "Agonopterix oinochroa" "0" "geen Nederlandse naam" "micro" "Elachistidae"
"116" "Agonopterix pallorella" "0" "zwartstreepkaartmot" "micro" "Elachistidae"
"117" "Agonopterix propinquella" "0" "zwartvlekkaartmot" "micro" "Elachistidae"
"118" "Agonopterix purpurea" "0" "purperkaartmot" "micro" "Elachistidae"
"119" "Agonopterix scopariella" "0" "vale bremkaartmot" "micro" "Elachistidae"
"120" "Agonopterix subpropinquella" "0" "distelkaartmot" "micro" "Elachistidae"
"121" "Agonopterix umbellana" "0" "gaspeldoornkaartmot" "micro" "Elachistidae"
"122" "Agonopterix yeatiana" "0" "peenkaartmot" "micro" "Elachistidae"
"123" "Agriopis aurantiaria" "1157" "najaarsspanner" "macro" "Geometridae"
"124" "Agriopis leucophaearia" "5262" "kleine voorjaarsspanner" "macro" "Geometridae"
"125" "Agriopis marginaria" "3397" "grote voorjaarsspanner" "macro" "Geometridae"
"126" "Agriphila deliella" "0" "zwartstreepgrasmot" "micro" "Crambidae"
"127" "Agriphila geniculea" "0" "gepijlde grasmot" "micro" "Crambidae"
"128" "Agriphila inquinatella" "0" "moerasgrasmot" "micro" "Crambidae"
"129" "Agriphila latistria" "0" "witlijngrasmot" "micro" "Crambidae"
"130" "Agriphila selasella" "0" "smalle witlijngrasmot" "micro" "Crambidae"
"131" "Agriphila straminella" "0" "blauwooggrasmot" "micro" "Crambidae"
"132" "Agriphila tristella" "0" "variabele grasmot" "micro" "Crambidae"
