species;group;combined_name
Noctua janthe;macro;Noctua janthe/janthina
Noctua janthina;macro;Noctua janthe/janthina
Acronicta psi;macro;Acronicta psi/tridens
Acronicta tridens;macro;Acronicta psi/tridens
Mesapamea secalella;macro;Mesapamea secalella/secalis
Mesapamea secalis;macro;Mesapamea secalella/secalis
Thera britannica;macro;Thera britannica/variata
Thera variata;macro;Thera britannica/variata
Xanthorhoe spadicearia;macro;Xanthorhoe ferrugata/spadicearia
Epirrita christyi;macro;Epirrita christyi/dilutata/autumnata
Epirrita dilutata;macro;Epirrita christyi/dilutata/autumnata
Epirrita autumnata;macro;Epirrita christyi/dilutata/autumnata
Oligia latruncula;macro;Oligia latruncula/strigilis/versicolor
Oligia strigilis;macro;Oligia latruncula/strigilis/versicolor
Oligia versicolor;macro;Oligia latruncula/strigilis/versicolor
Amphipyra berbera;macro;Amphipyra berbera/pyramidea
Amphipyra pyramidea;macro;Amphipyra berbera/pyramidea
Aplocera efformata;macro;Aplocera efformata/plagiata
Aplocera plagiata;macro;Aplocera efformata/plagiata
Cucullia scrophulariae;macro;Cucullia scrophulariae/verbasci
Cucullia verbasci;macro;Cucullia scrophulariae/verbasci
Amphipoea fucosa;macro;Amphipoea fucosa/lucens/oculea
Amphipoea lucens;macro;Amphipoea fucosa/lucens/oculea
Amphipoea oculea;macro;Amphipoea fucosa/lucens/oculea
Chamaesphecia empiformis;macro;Chamaesphecia empiformis/tenthrediniformis
Chamaesphecia tenthrediniformis;macro;Chamaesphecia empiformis/tenthrediniformis
Scotopteryx luridata;macro;Scotopteryx luridata/mucronata
Scotopteryx mucronata;macro;Scotopteryx luridata/mucronata
Acleris ferrugana;micro;Acleris ferrugana/notana
Acleris notana;micro;Acleris ferrugana/notana
Catoptria osthelderi;micro;Catoptria osthelderi/permutatellus
Catoptria permutatellus;micro;Catoptria osthelderi/permutatellus
Yponomeuta cagnagella;micro;Yponomeuta spec.
Yponomeuta evonymella;micro;Yponomeuta spec.
Yponomeuta malinellus;micro;Yponomeuta spec.
Yponomeuta padella;micro;Yponomeuta spec.
Yponomeuta rorrella;micro;Yponomeuta spec.
Agonopterix ciliella;micro;Agonopterix ciliella/heracliana
Agonopterix heracliana;micro;Agonopterix ciliella/heracliana
Cnephasia incertana;micro;Cnephasia spec.
Cnephasia stephensiana;micro;Cnephasia spec.
Cnephasia asseclana;micro;Cnephasia spec.
Cnephasia communana;micro;Cnephasia spec.
Cnephasia genitalana;micro;Cnephasia spec.
Cnephasia pasiuana;micro;Cnephasia spec.
Cnephasia pumicana;micro;Cnephasia spec.
Cnephasia sedana;micro;Cnephasia spec.
Bactra lacteana;micro;Bactra lacteana/lancealana
Bactra lancealana;micro;Bactra lacteana/lancealana
Rhyacionia buoliana;micro;Rhyacionia buoliana/pinicolana
Rhyacionia pinicolana;micro;Rhyacionia buoliana/pinicolana
Parornix finitimella;micro;Parornix spec.
Parornix torquillella;micro;Parornix spec.
Parornix anglicella;micro;Parornix spec.
Parornix betulae;micro;Parornix spec.
